Atractus clarki	Clark's Ground Snake	DUNN & BAILEY	1939	No	No
Atractus collaris	Collared Ground Snake	PERACCA	1897	No	No
Atractus crassicaudatus	Thickhead Ground Snake	DUMRIL, BIBRON & DUMRIL	1854	No	No
Atractus darienensis		MYERS	2003	No	No
Atractus depressiocellus		MYERS	2003	No	No
Atractus duboisi		BOULENGER	1880	No	No
Atractus duidensis	Venezuela Ground Snake	ROZE	1961	No	No
Atractus dunni	Dunn's Ground Snake	SAVAGE	1955	No	No
Atractus echidna		PASSOS, MUESES-CISNEROS, LYNCH & FERNANDES	2009	No	No
Atractus ecuadorensis	Ecuadorean Ground Snake	SAVAGE	1955	No	No
Atractus edioi		DA SILVA, RODRIGUES SILVA, RIBEIRO, SOUZA & DO AMARAL SOUZA	2005	No	No
Atractus elaps	Black Ground Snake	GNTHER	1858	No	No
Atractus emigdioi	Emigdios Ground Snake	GONZALES-SPONGA	1971	No	No
Atractus emmeli	Emmel's Ground Snake	BOETTGER	1888	No	No
Atractus eriki		ESQUEDA, LA MARCA & BAZ	2007	No	No
Atractus erythromelas	Red-black Ground Snake	BOULENGER	1903	No	No
Atractus favae	Filippi's Ground Snake	FILIPPI	1840	No	No
Atractus flammigerus	Flaming Ground Snake	BOIE	1827	No	No
Atractus franciscopaivai		SILVA HAAD	2004	No	No
Atractus francoi		PASSOS, FERNANDES, BRNILS & MOURA-LEITE	2010	No	No
Atractus fuliginosus	Hallowell's Ground Snake	HALLOWELL	1845	No	No
Atractus gaigeae	Gaige's Ground Snake	SAVAGE	1955	No	No
Atractus gigas		MYERS & SCHARGEL	2006	No	No
Atractus guentheri	Gnther's Ground Snake	WUCHERER	1861	No	No
Atractus heliobelluomini		SILVA HAAD	2004	No	No
Atractus hoogmoedi		PRUDENTE & PASSOS	2010	No	No
Atractus hostilitractus		MYERS	2003	No	No
Atractus imperfectus		MYERS	2003	No	No
Atractus indistinctus	Indistinct Ground Snake	PRADO	1940	No	No
Atractus insipidus		ROZE	1961	No	No
Atractus iridescens	Iridescent Ground Snake	PERACCA	1896	No	No
Atractus lancinii	Lancini's Ground Snake	ROZE	1961	No	No
Atractus lasallei	Lasalle's Ground Snake	AMARAL	1931	No	No
Atractus latifrons	Broadhead Ground Snake	GNTHER	1868	No	No
Atractus lehmanni	Lehmann's Ground Snake	BOETTGER	1898	No	No
Atractus limitaneus	Limitan Ground Snake	AMARAL	1935	No	No
Atractus loveridgei	Loveridge's Ground Snake	AMARAL	1930	No	No
Atractus macondo		PASSOS, LYNCH & FERNANDES	2009	No	No
Atractus maculatus	Spotted Ground Snake	GNTHER	1858	No	No
Atractus major	Brown Ground Snake, Big Ground Snake	BOULENGER	1894	No	No
Atractus manizalesensis		PRADO	1940	No	No
Atractus mariselae	Marisela's Ground Snake	LANCINI	1969	No	No
Atractus matthewi		MARKEZICH & BARRIO-AMORS	2004	No	No
Atractus medusa		PASSOS, MUESES-CISNEROS, LYNCH & FERNANDES	2009	No	No
